full_text,sentiment
hai kak. mohon maaf atas ketidaknyamanannya. apabila kakak sudah mempunyai akun djp online namun sampai saat ini belum pernah login ke akun coretax mohon untuk me-reset password terlebih dahulu dengan klik pada bagian lupa kata sandi?. silakan input nik sebagai id pengguna,neutral
hai kak. mohon maaf atas ketidaknyamanannya. apakah muncul notifikasi error? mohon kesediaannya untuk log out dari akun coretax kemudian silakan lakukan clear cache dan cookies terlebih pada browser yang digunakan. silakan dapat menggunakan mode private window,neutral
hai kak. apakah alamat kakak pindah ke wilayah kerja kpp lain? jika benar kakak dapat mengajukan perubahan data alamat melalui beberapa cara : 1. perubahan data secara mandiri melalui coretax: · kakak dapat melakukan perubahan data tersebut melalui akun coretax wajib pajak. ·,neutral
hhaaai! sha open jasa ya ges *lapor spt masa pph 21 *tanggapan sp2dk *bukti potong *pembuatan laporan keuangan sederhana/lengkap *lapor spt tahunan orang pribadi umkm badan usaha *perhitungan pajak wa yang dibio untuk order jokipajak zonauang coretax,neutral
pajak yang dibayarkan lewat sakti seharusnya 3.480.390 namun pada aplikasi coretax nilai yang muncul 3.542.143 <url>,neutral
hallo min mau tanya kalau saya mau pembetulan pph 21 desember 2024 pembuatan billingnya melalui coretax atau djp online ya? karena kalau melalui coretax dengan menu billing mandiri saya lihat tidak ada kjs nya. terimakasih,neutral
hai kak. mohon maaf atas ketidaknyamanannya. terkait error connection request time out mohon kesediaannya untuk log out dari akun coretax kemudian silakan lakukan clear cache dan cookies terlebih pada browser yang digunakan. silakan dapat menggunakan mode private window,neutral
hallo ka aku mau bertanya. kalau mau download bukti pajak ky gini di coretax tuh di menu yg mana ya? terima kasih. <url>,neutral
haish fuck coretax,negative
coretax bikin gw ribut ama bapak sendiri anjir,negative
hai kak. terkait bukti pelaporan nota retur / nota pembatalan sesuai dengan gambar yang terlampir tersebut untuk saat ini hanya tersedia pada e-faktur desktop dan belum tersedia pada aplikasi coretax. tks*olan,neutral
pajak untuk komisi ke orang pribadu di coretax pakai kode apa,neutral
